customer_id,first_name,second_name,gender,state,occupation,customer_segment,annual_income,recency,frequency,monetary,R,F,M,RFM_Score,segment
C00079,Aadhya,Singh,Female,Uttar Pradesh,Salaried,Corporate,2717527.82,81,13,64472.93,3,3,2,8,Loyal
C00080,Riya,Chopra,Male,Madhya Pradesh,Business Owner,Retail,635020.89,273,8,61430.73,1,2,2,5,At Risk
C00081,Ayaan,Patel,Female,Kerala,Salaried,Premium,3809124.23,64,7,55146.75,3,2,2,7,Potential Loyalist
C00082,Vivaan,Nair,Female,Karnataka,Business Owner,Retail,229155.08,30,25,228674.14,4,4,4,12,Champion
C00083,Aditya,Mishra,Female,Delhi,Retired,Premium,1110493.35,106,2,4518.34,2,1,1,4,At Risk
C00084,Rohan,Sharma,Female,Uttar Pradesh,Business Owner,Retail,562850.21,54,13,109326.82,3,3,3,9,Loyal
C00085,Aadhya,Jain,Male,Kerala,Self Employed,SME,584267.21,79,18,150483.2,3,4,4,11,Champion
C00086,Pari,Verma,Female,Maharashtra,Business Owner,Wealth,1630489.11,56,5,281589.99,3,1,4,8,Loyal
C00087,Amit,Singh,Male,Chandigarh,Freelancer,Retail,180000.0,3,14,121493.98,4,3,3,10,Champion
C00088,Ishaan,Iyer,Female,Maharashtra,Self Employed,Premium,1013323.36,63,15,86203.03,3,4,3,10,Champion
C00090,Rohan,Chopra,Female,Karnataka,Salaried,Corporate,437400.24,255,17,172097.27,1,4,4,9,Loyal
C00091,Pari,Chopra,Female,Maharashtra,Salaried,Retail,727728.54,388,1,30589.18,1,1,1,3,Dormant
C00092,Ayaan,Patel,Female,Uttar Pradesh,Freelancer,SME,1227121.46,15,9,160076.45,4,2,4,10,Champion
C00093,Vihaan,Mehta,Male,Gujarat,Student,SME,430481.21,53,14,187647.34,3,3,4,10,Champion
C00096,Priya,Kulkarni,Male,Kerala,Freelancer,Retail,316979.69,206,5,16097.24,1,1,1,3,Dormant
C00097,Rahul,Mehta,Female,Chandigarh,Self Employed,Retail,500647.96,76,15,154673.36,3,4,4,11,Champion
C00098,Priya,Sharma,Male,Maharashtra,Salaried,Retail,607098.0,365,6,56891.93,1,1,2,4,At Risk
C00101,Anaya,Mishra,Male,Gujarat,Salaried,Premium,469371.89,13,6,88165.39,4,1,3,8,Loyal
C00102,Riya,Bansal,Male,Telangana,Freelancer,Retail,466390.07,241,7,43982.31,1,2,2,5,At Risk
C00103,Aadhya,Bansal,Male,Kerala,Business Owner,SME,386648.18,24,7,33149.33,4,2,1,7,Potential Loyalist
C00104,Aditya,Patel,Male,Tamil Nadu,Student,Wealth,1855942.38,121,17,90969.13,2,4,3,9,Loyal
C00105,Vihaan,Bansal,Female,West Bengal,Freelancer,Premium,868455.05,127,14,78201.82,2,3,2,7,Potential Loyalist
C00106,Rohan,Jain,Male,Maharashtra,Salaried,Retail,485719.27,44,9,60888.74,3,2,2,7,Potential Loyalist
C00107,Anika,Mishra,Male,Kerala,Retired,Retail,281364.61,159,7,21132.81,2,2,1,5,At Risk
C00108,Aarav,Kumar,Male,Telangana,Retired,Premium,606089.21,4,7,61488.94,4,2,2,8,Loyal
C00109,Anaya,Kumar,Female,Gujarat,Business Owner,Premium,501069.69,41,28,184152.87,3,4,4,11,Champion
C00110,Riya,Kulkarni,Female,Tamil Nadu,Business Owner,SME,564267.52,98,2,6578.02,2,1,1,4,At Risk
C00111,Ira,Nair,Male,Madhya Pradesh,Self Employed,Retail,668836.85,92,3,16445.77,2,1,1,4,At Risk
C00112,Krishna,Nair,Female,Chandigarh,Salaried,Retail,322609.76,150,2,12160.75,2,1,1,4,At Risk
C00114,Neha,Bansal,Female,Gujarat,Salaried,SME,732364.64,546,3,2783.79,1,1,1,3,Dormant
C00115,Diya,Patel,Female,Maharashtra,Salaried,SME,548626.2,30,16,145306.68,4,4,4,12,Champion
C00116,Aditya,Agarwal,Male,Gujarat,Retired,Retail,180000.0,16,30,382915.04,4,4,4,12,Champion
C00117,Vihaan,Singh,Female,Uttar Pradesh,Self Employed,Wealth,1559106.21,155,10,173710.76,2,3,4,9,Loyal
C00118,Amit,Kapoor,Female,Chandigarh,Freelancer,Retail,735936.15,711,7,40274.37,1,2,1,4,At Risk
C00119,Ishaan,Reddy,Male,Chandigarh,Business Owner,Retail,213145.21,192,4,13641.72,1,1,1,3,Dormant
C00120,Kabir,Patel,Female,Karnataka,Student,Retail,371861.46,61,11,90506.97,3,3,3,9,Loyal
C00121,Ira,Singh,Male,Kerala,Student,Premium,378159.1,259,5,25481.47,1,1,1,3,Dormant
C00122,Myra,Agarwal,Male,Tamil Nadu,Business Owner,Retail,289719.85,108,14,193996.66,2,3,4,9,Loyal
C00123,Kabir,Iyer,Male,Tamil Nadu,Business Owner,Retail,685698.19,71,21,177135.59,3,4,4,11,Champion
C00125,Sneha,Iyer,Male,Gujarat,Freelancer,SME,464274.06,18,10,195906.75,4,3,4,11,Champion
C00126,Sai,Joshi,Female,Madhya Pradesh,Student,Retail,360578.7,14,8,89147.09,4,2,3,9,Loyal
C00127,Anika,Agarwal,Male,Uttar Pradesh,Freelancer,Retail,768502.02,225,4,53035.7,1,1,2,4,At Risk
C00128,Riya,Kumar,Female,Chandigarh,Salaried,Retail,180000.0,133,7,80813.13,2,2,3,7,Potential Loyalist
C00129,Sneha,Kulkarni,Male,West Bengal,Retired,Wealth,2022910.98,323,1,9448.19,1,1,1,3,Dormant
C00132,Ayaan,Kulkarni,Female,Haryana,Salaried,Retail,180000.0,55,11,93006.13,3,3,3,9,Loyal
C00133,Aarav,Iyer,Male,Maharashtra,Freelancer,Retail,933282.33,164,10,74736.12,2,3,2,7,Potential Loyalist
C00134,Arjun,Jain,Female,Tamil Nadu,Retired,Retail,1231495.99,271,9,90013.4,1,2,3,6,Potential Loyalist
C00135,Ira,Bansal,Male,Karnataka,Business Owner,SME,733288.32,54,10,181702.15,3,3,4,10,Champion
C00136,Vihaan,Jain,Male,Tamil Nadu,Freelancer,Retail,737335.78,98,12,155417.26,2,3,4,9,Loyal
C00140,Myra,Verma,Female,Rajasthan,Self Employed,Retail,180000.0,4,16,223619.91,4,4,4,12,Champion
C00141,Reyansh,Nair,Female,Uttar Pradesh,Salaried,Retail,180000.0,80,16,161421.23,3,4,4,11,Champion
C00142,Sai,Jain,Female,Tamil Nadu,Business Owner,Retail,811858.3,591,6,82375.15,1,1,3,5,At Risk
C00143,Anika,Nair,Female,Telangana,Salaried,Retail,762323.65,16,12,61049.93,4,3,2,9,Loyal
C00144,Myra,Desai,Female,Tamil Nadu,Salaried,Retail,566052.43,166,4,75049.3,2,1,2,5,At Risk
C00145,Ira,Kumar,Male,West Bengal,Self Employed,Premium,1045285.15,21,8,61613.33,4,2,2,8,Loyal
C00146,Pari,Verma,Male,Rajasthan,Freelancer,Retail,548384.81,110,12,82869.46,2,3,3,8,Loyal
C00147,Anaya,Reddy,Male,West Bengal,Salaried,Retail,257814.72,77,20,152193.81,3,4,4,11,Champion
C00149,Rohan,Iyer,Female,Delhi,Freelancer,SME,585193.71,281,12,94524.0,1,3,3,7,Potential Loyalist
C00150,Ira,Mehta,Male,Kerala,Self Employed,SME,1162694.16,120,6,60862.13,2,1,2,5,At Risk
C00152,Diya,Singh,Male,Gujarat,Self Employed,Corporate,839787.15,79,8,40699.3,3,2,1,6,Potential Loyalist
C00153,Neha,Mehta,Female,Madhya Pradesh,Retired,Retail,277302.43,28,7,50742.83,4,2,2,8,Loyal
C00155,Anaya,Kapoor,Male,Haryana,Salaried,Retail,1466650.54,49,29,358783.1,3,4,4,11,Champion
C00156,Kabir,Sharma,Female,Maharashtra,Freelancer,Premium,1226325.78,14,25,243806.78,4,4,4,12,Champion
C00157,Myra,Patel,Male,Tamil Nadu,Self Employed,Retail,720921.53,52,6,51546.79,3,1,2,6,Potential Loyalist
C00158,Amit,Desai,Male,Gujarat,Business Owner,Retail,347095.02,39,14,109873.7,3,3,3,9,Loyal
C00159,Aadhya,Mishra,Female,Rajasthan,Self Employed,Retail,258856.95,27,12,224658.88,4,3,4,11,Champion
C00160,Sara,Sharma,Male,Tamil Nadu,Student,Retail,341487.8,174,9,37908.17,2,2,1,5,At Risk
C00162,Aadhya,Verma,Male,Karnataka,Business Owner,Premium,1179296.28,138,12,79215.27,2,3,2,7,Potential Loyalist
C00163,Riya,Mishra,Male,Tamil Nadu,Self Employed,Retail,579135.34,29,12,65918.29,4,3,2,9,Loyal
C00164,Ira,Chopra,Male,Gujarat,Salaried,SME,836373.79,11,33,221291.0,4,4,4,12,Champion
C00166,Pari,Nair,Female,Chandigarh,Salaried,Retail,450433.82,36,35,160213.56,3,4,4,11,Champion
C00167,Neha,Sharma,Female,Tamil Nadu,Business Owner,Premium,2207057.45,51,24,182868.11,3,4,4,11,Champion
C00168,Pooja,Mishra,Female,Maharashtra,Self Employed,Retail,425587.62,523,4,26984.47,1,1,1,3,Dormant
C00169,Arjun,Bansal,Male,Uttar Pradesh,Student,Retail,228349.31,138,6,35391.52,2,1,1,4,At Risk
C00170,Anaya,Jain,Female,Chandigarh,Business Owner,Retail,287561.41,161,5,40069.52,2,1,1,4,At Risk
C00172,Sara,Iyer,Female,Telangana,Business Owner,SME,1156151.99,37,25,166074.99,3,4,4,11,Champion
C00173,Ishaan,Patel,Female,Telangana,Student,Premium,1194045.91,405,8,38568.38,1,2,1,4,At Risk
C00174,Krishna,Singh,Male,Telangana,Retired,SME,378293.52,147,6,17490.98,2,1,1,4,At Risk
C00175,Vihaan,Bansal,Female,Uttar Pradesh,Freelancer,SME,442003.76,112,10,93219.19,2,3,3,8,Loyal
C00177,Pooja,Verma,Male,Tamil Nadu,Student,Retail,514255.07,6,28,161662.08,4,4,4,12,Champion
C00178,Anaya,Nair,Female,Maharashtra,Freelancer,SME,665507.15,14,35,288787.44,4,4,4,12,Champion
C00180,Sai,Mishra,Female,Haryana,Student,Corporate,1266731.38,94,18,164600.72,2,4,4,10,Champion
C00181,Karan,Mehta,Male,Tamil Nadu,Business Owner,Retail,1055747.62,252,6,52656.91,1,1,2,4,At Risk
C00184,Karan,Jain,Male,Madhya Pradesh,Self Employed,Wealth,889626.93,790,1,2107.11,1,1,1,3,Dormant
C00185,Vihaan,Verma,Male,Chandigarh,Retired,Retail,180000.0,132,7,75343.9,2,2,2,6,Potential Loyalist
C00186,Pari,Jain,Male,Delhi,Retired,Retail,280493.82,51,25,176954.48,3,4,4,11,Champion
C00187,Rohan,Nair,Male,Maharashtra,Student,Retail,507208.85,31,5,11491.41,4,1,1,6,Potential Loyalist
C00188,Vivaan,Patel,Female,Maharashtra,Salaried,Retail,378252.26,57,14,126884.96,3,3,3,9,Loyal
C00189,Myra,Chopra,Female,Gujarat,Salaried,Premium,324000.0,84,19,239131.28,2,4,4,10,Champion
C00190,Ira,Singh,Male,Kerala,Salaried,Retail,229670.41,228,5,46074.53,1,1,2,4,At Risk
C00191,Ayaan,Kulkarni,Female,Tamil Nadu,Self Employed,Retail,524697.4,158,8,74397.69,2,2,2,6,Potential Loyalist
C00192,Nisha,Sharma,Male,Uttar Pradesh,Self Employed,Premium,4361823.49,296,2,14374.02,1,1,1,3,Dormant
C00195,Krishna,Verma,Male,Tamil Nadu,Freelancer,Wealth,1373405.16,16,8,44392.38,4,2,2,8,Loyal
C00196,Kiara,Bansal,Male,Gujarat,Business Owner,Wealth,1971778.35,149,7,42968.63,2,2,1,5,At Risk
C00197,Sneha,Kulkarni,Male,Haryana,Retired,SME,325632.01,58,14,96164.24,3,3,3,9,Loyal
C00198,Aditya,Kulkarni,Female,Gujarat,Salaried,Retail,313273.68,139,11,75385.68,2,3,2,7,Potential Loyalist
C00199,Reyansh,Kapoor,Male,Uttar Pradesh,Student,Premium,1717181.78,42,17,131076.04,3,4,3,10,Champion
C00201,Nisha,Jain,Female,Tamil Nadu,Salaried,Premium,600491.57,9,20,152810.61,4,4,4,12,Champion
C00203,Rohan,Iyer,Female,Tamil Nadu,Student,SME,618197.97,100,5,226832.79,2,1,4,7,Potential Loyalist
C00204,Sara,Kumar,Male,Madhya Pradesh,Retired,Corporate,396000.0,73,12,165183.07,3,3,4,10,Champion
C00205,Aditya,Singh,Male,Karnataka,Self Employed,Retail,180000.0,68,9,111203.12,3,2,3,8,Loyal
C00206,Aarav,Agarwal,Female,Rajasthan,Retired,Premium,838540.93,28,8,65833.85,4,2,2,8,Loyal
C00207,Ayaan,Joshi,Female,Maharashtra,Business Owner,Retail,1013924.89,217,7,89373.17,1,2,3,6,Potential Loyalist
C00208,Ishaan,Patel,Male,Gujarat,Salaried,Retail,198734.83,122,12,77528.49,2,3,2,7,Potential Loyalist
C00209,Sneha,Iyer,Male,Gujarat,Retired,Retail,442308.98,56,11,62966.34,3,3,2,8,Loyal
C00210,Karan,Iyer,Male,Uttar Pradesh,Self Employed,Retail,470693.68,42,4,53873.69,3,1,2,6,Potential Loyalist
C00211,Anaya,Chopra,Male,Delhi,Freelancer,Retail,180000.0,270,13,181639.14,1,3,4,8,Loyal
C00212,Anaya,Mishra,Female,Karnataka,Business Owner,Retail,306217.02,71,18,94795.62,3,4,3,10,Champion
C00213,Rohan,Kapoor,Female,Telangana,Salaried,Retail,920446.18,91,13,204324.8,2,3,4,9,Loyal
C00214,Kabir,Singh,Female,Tamil Nadu,Business Owner,Retail,180000.0,154,3,28764.54,2,1,1,4,At Risk
C00215,Aditya,Kumar,Female,Karnataka,Student,Retail,582259.17,176,7,101003.85,2,2,3,7,Potential Loyalist
C00219,Aadhya,Iyer,Female,Madhya Pradesh,Business Owner,Retail,237664.8,128,8,68979.17,2,2,2,6,Potential Loyalist
C00221,Vihaan,Kapoor,Male,Madhya Pradesh,Retired,Retail,723544.01,100,8,48083.13,2,2,2,6,Potential Loyalist
C00223,Sneha,Chopra,Male,Madhya Pradesh,Student,Retail,748417.61,192,13,77852.32,1,3,2,6,Potential Loyalist
C00224,Diya,Malhotra,Male,Madhya Pradesh,Salaried,Retail,538625.36,101,7,70666.12,2,2,2,6,Potential Loyalist
C00225,Sneha,Bansal,Male,West Bengal,Salaried,Retail,301652.67,55,18,154423.84,3,4,4,11,Champion
C00226,Myra,Desai,Female,Telangana,Student,Retail,529060.1,28,16,231229.37,4,4,4,12,Champion
C00227,Myra,Joshi,Female,Maharashtra,Business Owner,Retail,270671.92,187,3,36737.34,2,1,1,4,At Risk
C00228,Sneha,Kumar,Male,Karnataka,Retired,Retail,374653.52,37,8,70261.4,3,2,2,7,Potential Loyalist
C00229,Kabir,Kumar,Male,Kerala,Freelancer,Retail,370633.62,44,9,91327.66,3,2,3,8,Loyal
C00230,Aadhya,Sharma,Male,Gujarat,Self Employed,Premium,395327.9,55,15,81999.93,3,4,3,10,Champion
C00231,Myra,Gupta,Female,Karnataka,Freelancer,SME,399613.68,79,15,123781.72,3,4,3,10,Champion
C00232,Diya,Kulkarni,Male,Madhya Pradesh,Freelancer,Retail,394563.52,12,8,49000.42,4,2,2,8,Loyal
C00236,Rahul,Kulkarni,Female,Gujarat,Self Employed,Retail,596131.57,880,3,8211.84,1,1,1,3,Dormant
C00237,Amit,Kulkarni,Female,Maharashtra,Retired,Retail,307127.95,213,11,110323.13,1,3,3,7,Potential Loyalist
C00238,Rahul,Verma,Female,Karnataka,Retired,Corporate,1575735.39,2,6,36463.23,4,1,1,6,Potential Loyalist
C00239,Priya,Patel,Female,Gujarat,Salaried,Premium,437607.32,4,16,174330.85,4,4,4,12,Champion
C00240,Riya,Singh,Male,Uttar Pradesh,Self Employed,SME,742967.27,543,2,3077.29,1,1,1,3,Dormant
C00242,Anaya,Mehta,Female,Maharashtra,Student,Premium,530645.85,36,7,106013.89,3,2,3,8,Loyal
C00243,Nisha,Patel,Female,Maharashtra,Retired,Retail,390960.35,259,7,114232.19,1,2,3,6,Potential Loyalist
C00247,Kabir,Nair,Male,Haryana,Student,Retail,513075.06,170,16,170051.08,2,4,4,10,Champion
C00248,Rohan,Kulkarni,Male,Karnataka,Salaried,Retail,282697.96,451,10,44650.64,1,3,2,6,Potential Loyalist
C00249,Pooja,Gupta,Male,Tamil Nadu,Business Owner,Retail,229491.13,426,3,9518.22,1,1,1,3,Dormant
C00250,Rohan,Singh,Male,Tamil Nadu,Retired,SME,1659995.39,852,2,4231.65,1,1,1,3,Dormant
C00251,Arjun,Bansal,Female,Maharashtra,Self Employed,Retail,777856.77,5,24,459753.58,4,4,4,12,Champion
C00253,Neha,Sharma,Female,Karnataka,Self Employed,Premium,1260580.61,26,28,205835.73,4,4,4,12,Champion
C00254,Sneha,Mehta,Female,Chandigarh,Student,Retail,837284.34,23,5,62953.28,4,1,2,7,Potential Loyalist
C00256,Neha,Agarwal,Female,Haryana,Student,Premium,695836.51,304,6,50496.42,1,1,2,4,At Risk
C00258,Vivaan,Nair,Male,Uttar Pradesh,Salaried,SME,252000.0,12,9,46750.89,4,2,2,8,Loyal
C00259,Rahul,Reddy,Male,Delhi,Business Owner,Retail,327879.13,300,5,16852.67,1,1,1,3,Dormant
C00260,Neha,Kapoor,Male,Telangana,Student,SME,492203.42,338,7,67859.12,1,2,2,5,At Risk
C00262,Sai,Verma,Female,Maharashtra,Self Employed,Retail,180000.0,316,7,56998.71,1,2,2,5,At Risk
C00263,Ira,Verma,Male,Uttar Pradesh,Self Employed,Retail,234445.42,132,6,60936.29,2,1,2,5,At Risk
C00265,Pari,Jain,Male,Uttar Pradesh,Freelancer,Retail,549077.33,295,5,20220.47,1,1,1,3,Dormant
C00266,Neha,Sharma,Female,Uttar Pradesh,Salaried,Retail,492708.95,42,12,97794.59,3,3,3,9,Loyal
C00267,Vivaan,Singh,Female,Gujarat,Salaried,Retail,272026.45,36,11,128635.77,3,3,3,9,Loyal
C00271,Krishna,Gupta,Male,Gujarat,Self Employed,Wealth,890730.93,333,5,70661.19,1,1,2,4,At Risk
C00272,Neha,Mehta,Female,Tamil Nadu,Student,Retail,656733.92,102,13,208224.51,2,3,4,9,Loyal
C00274,Kabir,Patel,Female,Delhi,Salaried,SME,1007479.21,64,8,52988.91,3,2,2,7,Potential Loyalist
C00277,Anika,Jain,Male,Maharashtra,Salaried,Retail,318449.04,68,14,137903.2,3,3,4,10,Champion
C00278,Sneha,Malhotra,Male,Gujarat,Student,Premium,1156898.48,7,4,28630.88,4,1,1,6,Potential Loyalist
C00282,Pari,Joshi,Female,Haryana,Retired,SME,1630102.07,339,5,18995.3,1,1,1,3,Dormant
C00283,Sara,Sharma,Female,Haryana,Retired,Retail,487903.71,191,4,34643.24,1,1,1,3,Dormant
C00285,Ishaan,Iyer,Male,West Bengal,Self Employed,SME,555093.17,100,13,85176.32,2,3,3,8,Loyal
C00286,Nisha,Mishra,Female,Gujarat,Self Employed,Retail,691273.38,46,10,53059.06,3,3,2,8,Loyal
C00287,Aarav,Kapoor,Female,Maharashtra,Retired,Corporate,768868.91,30,17,114196.52,4,4,3,11,Champion
C00288,Karan,Jain,Male,Haryana,Business Owner,Wealth,723930.81,223,11,71799.44,1,3,2,6,Potential Loyalist
C00289,Anaya,Kulkarni,Male,Uttar Pradesh,Business Owner,Premium,1440334.93,35,16,66430.69,3,4,2,9,Loyal
C00290,Sai,Bansal,Female,Uttar Pradesh,Student,Retail,295831.15,14,12,77609.46,4,3,2,9,Loyal
C00291,Rohan,Mehta,Male,Kerala,Student,Retail,1183687.21,58,9,80976.46,3,2,3,8,Loyal
C00292,Nisha,Chopra,Male,Maharashtra,Freelancer,Retail,251038.09,15,15,153734.5,4,4,4,12,Champion
C00293,Riya,Bansal,Male,Kerala,Salaried,Wealth,1100778.96,158,4,28288.72,2,1,1,4,At Risk
C00294,Krishna,Nair,Female,Tamil Nadu,Self Employed,Premium,1730022.39,304,9,190552.72,1,2,4,7,Potential Loyalist
C00295,Kiara,Patel,Female,Maharashtra,Freelancer,SME,371425.61,147,4,17344.53,2,1,1,4,At Risk
C00296,Aditya,Jain,Male,Chandigarh,Business Owner,Retail,285340.96,26,10,208229.47,4,3,4,11,Champion
C00297,Nisha,Chopra,Female,Madhya Pradesh,Self Employed,Retail,465598.08,133,8,38979.04,2,2,1,5,At Risk
C00298,Arjun,Gupta,Male,Maharashtra,Freelancer,Retail,917932.61,37,16,112070.54,3,4,3,10,Champion
C00299,Priya,Jain,Male,Kerala,Student,Premium,675020.68,31,20,131972.03,4,4,3,11,Champion
C00300,Vihaan,Kulkarni,Male,Karnataka,Self Employed,Retail,687719.48,19,12,108040.65,4,3,3,10,Champion
C00301,Rahul,Singh,Female,Uttar Pradesh,Business Owner,Retail,549356.15,74,17,143349.29,3,4,4,11,Champion
